ngramm	kl_div	js_div	deg
machine learn	0.058956254623828586	0.015015758042603702	0.11163588613271712
kernel embedding	2.302585092994046	0.5255973270178644	1.0
distribution also	2.302585092994046	0.5255973270178644	1.0
also call	0.8058635711271123	0.23400857932598176	0.24864111840724945
kernel mean	2.302585092994046	0.5255973270178644	1.0
mean map	2.302585092994046	0.5255973270178644	1.0
nonparametric method	1.2628643221541276	0.3485844618952139	0.375
probability distribution	0.1792530583580387	0.051373929657861916	0.12908418476581573
reproducing kernel	0.9704066508147592	0.28161529919547035	0.280000239610672
kernel hilbert	1.2628668563704102	0.3485848239268604	0.3750012516975403
hilbert space	0.5435458583328471	0.1540561844224967	0.2048699110746384
feature mapping	2.302585092994046	0.5255973270178644	1.0
classical kernel	2.302585092994046	0.5255973270178644	1.0
kernel method	1.2663863757183378	0.3497903909702277	0.3719008564949036
infinitedimensional feature	2.302585092994046	0.5255973270178644	1.0
feature space	0.8234512031740829	0.23768139710087186	0.2544376254081726
space can	1.6094379124341005	0.4228104552401625	0.5
statistical feature	2.302585092994046	0.5255973270178644	1.0
arbitrary distribution	1.6660710041543385	0.4276715617591922	0.5555555820465088
allow one	0.9165742435428408	0.27439893829987755	0.25014179944992065
manipulate distribution	2.302585092994046	0.5255973270178644	1.0
distribution use	1.6094379124341005	0.4228104552401625	0.5
use hilbert	2.302585092994046	0.5255973270178644	1.0
space operation	2.302585092994046	0.5255973270178644	1.0
inner product	0.629834678441241	0.18759866353234048	0.2041175365447998
distance projection	2.302585092994046	0.5255973270178644	1.0
linear transformation	2.302585092994046	0.5255973270178644	1.0
spectral analysis	1.2039728700094443	0.3420145093275128	0.3333333730697632
learn framework	0.9162907318741552	0.27435846855026524	0.25
space formula	0.6072868762181357	0.18187402867996555	0.20012813806533813
sensible kernel	2.302585092994046	0.5255973270178644	1.0
kernel function	0.9701438089017036	0.2815807208245147	0.2798486351966858
function measure	2.302585092994046	0.5255973270178644	1.0
formula may	0.39530133578125015	0.10893948951605643	0.1805556416511536
example various	2.302585092994046	0.5255973270178644	1.0
formula discrete	2.302585092994046	0.5255973270178644	1.0
image time	2.302585092994046	0.5255973270178644	1.0
time series	1.6821154361994983	0.3776006210397291	0.7238659262657166
series manifold	2.302585092994046	0.5255973270178644	1.0
dynamical system	1.2039728700094443	0.3420145093275128	0.3333333730697632
structured object	2.302585092994046	0.5255973270178644	1.0
theory behind	2.302585092994046	0.5255973270178644	1.0
kernel embeddings	2.302585092994046	0.5255973270178644	1.0
distribution ha	2.302585092994046	0.5255973270178644	1.0
primarily develop	2.302585092994046	0.5255973270178644	1.0
alex smola	2.302585092994046	0.5255973270178644	1.0
le song	2.302585092994046	0.5255973270178644	1.0
bernhard schlkopf	2.302585092994046	0.5255973270178644	1.0
recent work	0.741874713664231	0.22326923289455888	0.2222222238779068
distribution can	0.7422296456966115	0.22332241654004115	0.22239288687705994
many algorithm	1.203972870009447	0.3420145093275131	0.3333333432674408
field rely	2.302585092994046	0.5255973270178644	1.0
information theoretic	2.302585092994046	0.5255973270178644	1.0
entropy mutual	2.302585092994046	0.5255973270178644	1.0
mutual information	1.5727139376874586	0.38870035241065615	0.5822222232818604
kullbackleibler divergence	2.302585092994046	0.5255973270178644	1.0
quantity one	2.302585092994046	0.5255973270178644	1.0
one must	2.302585092994046	0.5255973270178644	1.0
must first	2.302585092994046	0.5255973270178644	1.0
either perform	2.302585092994046	0.5255973270178644	1.0
perform density	2.302585092994046	0.5255973270178644	1.0
density estimation	1.2911808576855488	0.35272616543922203	0.3888888955116272
employ sophisticate	2.302585092994046	0.5255973270178644	1.0
typically infeasible	2.302585092994046	0.5255973270178644	1.0
highdimensional data	0.9163028566007904	0.2743602006712145	0.2500060498714447
commonly method	2.302585092994046	0.5255973270178644	1.0
model complex	1.6094379124341005	0.4228104552401625	0.5
distribution rely	2.302585092994046	0.5255973270178644	1.0
parametric assumption	2.302585092994046	0.5255973270178644	1.0
computationally challenge	2.302585092994046	0.5255973270178644	1.0
gaussian mixture	1.453899596721057	0.37190811547311897	0.5061728954315186
mixture model	2.302585092994046	0.5255973270178644	1.0
method like	2.302585092994046	0.5255973270178643	1.0
like kernel	2.302585092994046	0.5255973270178644	1.0
kernel density	2.302585092994046	0.5255973270178643	1.0
smoothing kernel	2.302585092994046	0.5255973270178644	1.0
different interpretation	2.302585092994046	0.5255973270178644	1.0
kernel discuss	2.302585092994046	0.5255973270178644	1.0
characteristic function	1.7402499483752372	0.43451051577495947	0.625
representation via	2.302585092994046	0.5255973270178644	1.0
fourier transform	1.7402500054851533	0.4345105359909919	0.625
distribution break	2.302585092994046	0.5255973270178644	1.0
highdimensional setting	2.302585092994046	0.5255973270178644	1.0
method base	0.7527591254702802	0.22560876797278945	0.22448982298374176
also possess	2.302585092994046	0.5255973270178644	1.0
follow advantage	2.302585092994046	0.5255973270178644	1.0
thus learn	1.6094379124341005	0.4228104552401625	0.5
distribution offer	2.302585092994046	0.5255973270178644	1.0
subsume many	2.302585092994046	0.5255973270178644	1.0
many popular	2.302585092994046	0.5255973270178644	1.0
popular method	1.6094379124341005	0.4228104552401625	0.5
machine learning	0.3589948859334703	0.0837415051247174	0.18913957476615906
special case	0.4787196389864405	0.14353619384570748	0.17647325992584229
also can	2.302585092994046	0.5255973270178644	1.0
can lead	2.302585092994046	0.5255973270178644	1.0
entirely new	2.302585092994046	0.5255973270178644	1.0
new learn	2.302585092994046	0.5255973270178644	1.0
learn algorithm	0.215722413273962	0.05464711781365174	0.1468065232038498
let formula	0.3572963374692401	0.08505092046834042	0.18982651829719546
formula denote	0.7978143511841306	0.23411020762913295	0.2400050461292267
random variable	0.3166619369936992	0.09704080605245173	0.14683805406093595
codomain formula	2.302585092994046	0.5255973270178644	1.0
distribution formula	0.4645969830305488	0.13136462480288247	0.18365976214408875
kernel formula	1.301968611743332	0.32595298507401754	0.4827830791473389
theorem assert	2.302585092994046	0.5255973270178644	1.0
rkhs formula	1.6668841380885158	0.4277435060869645	0.5563374161720276
function formula	0.2626731679797703	0.07435986062421593	0.14590267837047574
product formula	1.2628643221541278	0.34858446189521386	0.375
norm formula	1.247664896528562	0.34746884607692546	0.3599999845027924
element formula	1.2039728043259368	0.3420144880071859	0.3333333432674408
formula satisfy	2.302585092994046	0.5255973270178644	1.0
reproducing property	2.302585092994046	0.5255973270178644	1.0
one may	1.0254889592865526	0.29004701391301524	0.30607885122299194
may alternatively	2.302585092994046	0.5255973270178644	1.0
consider formula	1.2039728700094443	0.3420145093275128	0.3333333730697632
implicit feature	2.302585092994046	0.5255973270178644	1.0
feature map	1.3542968618708862	0.3588793645000665	0.4414417743682861
map formula	0.780507221564953	0.2306423428174285	0.2349108457565308
therefore also	2.302585092994046	0.5255973270178644	1.0
formula can	0.16477542072833126	0.04215721028428797	0.13322938978672028
point formula	0.3940499877376421	0.1111373057082626	0.1734694093465805
similarity measure	1.7024190079285102	0.4030017316194977	0.6859504580497742
highly nonlinear	2.302585092994046	0.5255973270178644	1.0
original space	2.302585092994046	0.5255973270178644	1.0
formula also	1.2039729356929547	0.3420144666868597	0.3333333730697632
formula allow	2.302585092994046	0.5255973270178644	1.0
density formula	1.6094379902015106	0.4228104777532272	0.5
hilbertschmidt integral	2.302585092994046	0.5255973270178644	1.0
mean embedding	2.302585092994046	0.5255973270178644	1.0
uniquely represent	2.302585092994046	0.5255973270178644	1.0
characteristic kernel	2.302585092994046	0.5255973270178644	1.0
give formula	0.3303403667681918	0.0967866826639996	0.15702520310878754
formula training	1.2039727680208498	0.34201453403765825	0.3333333432674408
training example	0.5779075264005681	0.16571286703647586	0.20347832143306727
example formula	0.6721684524561532	0.1957901172838196	0.218757763504982
draw independently	2.302585092994046	0.5255973270178644	1.0
identically distribute	0.7418680011447021	0.22326824856623875	0.22221891582012174
empirically estimate	2.302585092994046	0.5255973270178644	1.0
asif formula	2.302585092994046	0.5255973270178644	1.0
formula denotes	0.9162915332846604	0.2743585770088113	0.2500004172325134
denotes another	2.302585092994046	0.5255973270178644	1.0
simplicity assume	2.302585092994046	0.5255973270178644	1.0
also formula	2.302585092994046	0.5255973270178644	1.0
satisfy formula	2.302585092994046	0.5255973270178644	1.0
joint distribution	0.8129097474910667	0.21945229278374195	0.2801505923271179
tensor product	2.302585092994046	0.5255973270178644	1.0
formula via	1.6094378346667912	0.4228104327271065	0.4999999701976776
linear map	1.6094378346667912	0.4228104327271065	0.4999999701976776
joint embed	2.302585092994046	0.5255973270178644	1.0
crosscovariance operator	2.302585092994046	0.5255973270178644	1.0
